Name,Gender,SSN,Member Date,Phone,State,Zip,Email,Credit Card,Credit Card_Number,Credit Card Exp,Gender,Favorite Radio Station,Purchases Past 30 Days,Spent Past 30 Days,Purchases Past 6 Months,Spent Past 6 Months,Purchases Past 12 Months,Spent Past 12 Months
Mr. Angel Grant,male,845-86-0639,Fri Mar 13 2015 16:06:51 GMT-0400 (Eastern Daylight Time),(420) 734-1968,South Carolina,68753-9555,a.grantrant@li.gov,Visa,4733xxxxxxxx4535,02/27,male,WFYJ,3,$885,7,$4756.71,8,$8246.550000000001
Mrs. Frances Harper,female,747-59-3202,Mon Oct 07 2013 06:49:18 GMT-0400 (Eastern Daylight Time),(564) 585-9087,New Hampshire,43518,f.Harper@zudafe.net,Diners Club United States & Canada,5483xxxxxxxx2048,10/24,female,WVXJ,2,$777.92,4,$2611.23,14,$8939.7
Logan Ballard,male,066-07-5249,19/12/2013,9147185216,Michigan,14021,l.ballardallard@mimmet.au,American Express,3449xxxxxxx5420,04/27,male,WSXU,5,$2611.9,7,$5870.499999999999,16,$13368.149999999998
Callie Johnston,female,564-55-7308,4/4/2016,(352) 530-4048,Connecticut,31469,c.Johnston@emacahjoh.gov,Mastercard,5132xxxxxxxx5014,05/22,female,WAAH,1,$151.12,6,$2768.11,7,$7311.0199999999995
Hettie Gray,female,451-74-6472,13/3/2016,9768228680,MA,66613,h.grayray@gafos.edu,American Express,3410xxxxxxx1240,09/21,female,WXIN,0,$0,3,$1848.62,12,$8381.39
Lillie Lucas,female,563-00-1665,15/5/2010,2223984519,MN,14992,l.Lucas@ob.org,Mastercard,5129xxxxxxxx0367,09/25,female,WADT,2,$495.92,4,$2182.9,12,$7946.089999999999
Misses Adele Love,female,363-65-0182,Mon Aug 05 2013 22:25:47 GMT-0400 (Eastern Daylight Time),(815) 310-2291,GA,54907-4065,a.Love@afemit.gov,Diners Club United States & Canada,5406xxxxxxxx8273,07/18,female,WHJJ,1,$384.31,4,$2203.83,13,$9888.38
Matilda Fitzgerald,female,778-68-6839,Sat May 06 2017 15:29:47 GMT-0400 (Eastern Daylight Time),(353) 807-1568,Hawaii,02879,m.fitzgeralditzgerald@nebihore.nz,Mastercard,5110xxxxxxxx0608,02/23,female,KNFW,0,$0,2,$1385.8899999999999,10,$5331.719999999999
Misses Beulah Cobb,female,578-30-0767,Wed Jan 09 2013 07:01:42 GMT-0500 (Eastern Standard Time),(804) 788-3618,Hawaii,64307,b.cobbobb@ho.com,Discover Card,6011xxxxxxxx3443,12/21,female,KPXX,3,$1441.5700000000002,5,$3708.3100000000004,15,$11521.15
Dr. Bruce Yates,male,553-86-1802,29/7/2013,2552212204,South Dakota,55182,b.yatesates@ogo.info,Mastercard,5166xxxxxxxx6156,01/18,male,KIGM,0,$0,4,$2323.45,12,$9994.439999999999
Doctor Eddie Gray,male,151-76-3011,Fri Sep 04 2015 18:48:15 GMT-0400 (Eastern Daylight Time),9202151501,Washington,18505,e.grayray@nogtiuw.edu,Diners Club United States & Canada,5431xxxxxxxx6372,02/21,male,KRTN,2,$962.53,6,$4480.44,14,$13298.8
Mrs. Iva Lopez,female,673-05-0631,Sat Jul 12 2014 09:14:59 GMT-0400 (Eastern Daylight Time),(244) 208-9516,NM,88615,i.lopezopez@im.gov,Discover Card,6011xxxxxxxx0150,12/25,female,KCSL,3,$1708.85,4,$4040.86,11,$10153.519999999999
Dr. Rose Hale,female,764-98-6105,Fri Oct 02 2009 01:51:53 GMT-0400 (Eastern Daylight Time),8707292852,O.K.,56382-8092,r.haleale@ris.com,Discover Card,6011xxxxxxxx6258,01/25,female,KPXM,0,$0,2,$56.15,11,$4837.79
Miss Estelle Hansen,female,761-25-0743,Thu Apr 13 2006 03:11:54 GMT-0400 (Eastern Daylight Time),6456173069,Colorado,78608-6082,e.hansenansen@so.gov,Visa,4181xxxxxxxx7262,02/21,female,KLZE,1,$434.01,3,$1932.08,10,$7667.59
Arthur Torres,male,618-64-1315,Mon Jul 18 2005 17:29:49 GMT-0400 (Eastern Daylight Time),(821) 957-9082,Maine,40139,a.torresorres@copfes.net,Diners Club United States & Canada,5469xxxxxxxx8845,06/19,male,WGFU,3,$2427.9300000000003,5,$4863.43,8,$8835.52
Mrs. Polly Carr,female,908-00-9051,Thu Sep 27 2012 14:56:58 GMT-0400 (Eastern Daylight Time),(629) 304-6290,K.S.,74761,p.carrarr@huriwki.edu,Visa,4414xxxxxxxx8443,01/24,female,KBMJ,4,$1432.05,5,$4276.64,10,$10112.820000000002
Mr. Jonathan Flores,male,179-37-4699,Mon Feb 28 2005 22:59:40 GMT-0500 (Eastern Standard Time),(651) 997-7489,DC,22612-9620,j.floreslores@jopo.de,American Express,3449xxxxxxx0754,07/19,male,WPGN,3,$2115.42,8,$6535.64,17,$15132.760000000004
Mrs. Isabel Mason,female,499-56-9885,7/23/2011,6284488713,MS,28612,i.masonason@pelom.net,American Express,3409xxxxxxx5958,09/23,female,WJOH,0,$0,1,$252.68,7,$3411.1400000000003
Dora Kim,female,559-91-8689,8/7/2006,(819) 890-1288,Colorado,96810,d.kimim@sef.org,American Express,3460xxxxxxx9337,01/20,female,KZQX,3,$1797.58,5,$5154.49,11,$11791.139999999996
Charles Peters,male,994-13-3908,28/11/2012,8852144685,KS,69306-5615,c.peterseters@afovimjih.au,Diners Club United States & Canada,5468xxxxxxxx1779,08/20,male,KIXU,1,$869.38,3,$2474.7599999999998,11,$6044.34
Elmer Murphy,male,474-86-8619,22/7/2010,9037934637,District of Columbia,65577,e.murphyurphy@sudode.ca,American Express,3439xxxxxxx9699,09/19,male,KHKK,2,$1106.84,6,$3806.2900000000004,14,$12119.599999999999
Dr. George Page,male,544-79-3751,6/8/2008,(936) 738-3678,Oregon,20213-1763,g.Page@lu.nz,American Express,3454xxxxxxx6973,07/24,male,KKHQ,4,$1466.0900000000001,6,$4355.429999999999,15,$11763.369999999999
Mr. Timothy Mack,male,265-53-0750,Sat May 21 2011 21:01:39 GMT-0400 (Eastern Daylight Time),6412744679,D.C.,52899,t.mackack@ebil.edu,American Express,3458xxxxxxx1649,12/22,male,WOZC,2,$68.64,4,$3149.6699999999996,6,$6674.88
Mrs. Verna Romero,female,165-93-6857,Tue Jul 19 2011 05:28:49 GMT-0400 (Eastern Daylight Time),2537043745,TX,12350-9206,v.romeroomero@segumu.co,Discover Card,6011xxxxxxxx6369,05/27,female,KPUO,0,$0,1,$729.05,3,$2145
Sophia Lewis,female,302-24-3710,Mon Dec 17 2012 00:15:00 GMT-0500 (Eastern Standard Time),4825628433,IN,37489-4305,s.lewisewis@abe.gov,Discover Card,6011xxxxxxxx2764,03/19,female,WOYV,4,$1888.7000000000003,9,$5731.5199999999995,13,$15515.829999999998
Adeline Diaz,female,931-44-5458,Sat Jun 09 2012 06:08:06 GMT-0400 (Eastern Daylight Time),5792112385,Tennessee,25451-6895,a.Diaz@fejinuha.edu,Mastercard,5126xxxxxxxx2815,12/27,female,WLWC,2,$966.62,4,$2218.87,13,$9106.300000000001
Dr. Gilbert Morris,male,877-45-4387,17/12/2011,5343971150,U.T.,87880-2810,g.morrisorris@cicokcaj.edu,Diners Club United States & Canada,5454xxxxxxxx9421,11/20,male,KYJX,4,$1358.19,5,$4456.710000000001,9,$8960.33
Johanna Garcia,female,688-54-3701,13/10/2011,(603) 289-6674,District of Columbia,54114-2512,j.garciaarcia@ujadevub.info,American Express,3480xxxxxxx7070,12/21,female,WHPE,2,$574.0799999999999,5,$3539.18,10,$8390.47
Dr. Bradley Barrett,male,437-73-8953,3/30/2006,3745484451,Wisconsin,94053,b.barrettarrett@kuhilagup.de,Discover Card,6011xxxxxxxx3149,06/23,male,WHCG,5,$3312.42,7,$6422.84,12,$13896.460000000001
Mr. John Luna,male,270-00-2021,Sat Dec 10 2016 06:14:05 GMT-0500 (Eastern Standard Time),6338105490,I.L.,20575,j.lunauna@kagvari.gov,Mastercard,5156xxxxxxxx5678,08/17,male,WCMP,0,$0,5,$2691.1099999999997,11,$8485.93
Miss May Logan,female,096-80-3917,Tue Sep 25 2007 20:13:35 GMT-0400 (Eastern Daylight Time),3218219428,NH,04936-2359,m.loganogan@zuso.org,Diners Club United States & Canada,5402xxxxxxxx4129,07/25,female,WHMN,5,$2503.59,9,$7553.7,19,$18535.149999999998
Andre Daniel,male,642-50-4000,Sun Mar 18 2012 08:45:53 GMT-0400 (Eastern Daylight Time),6386036769,W.V.,67342-0289,a.Daniel@awu.co,Diners Club United States & Canada,5476xxxxxxxx6926,01/17,male,WOTK,4,$2906.37,8,$6834.27,9,$11407.11
Doctor Olive Joseph,female,104-58-6308,Thu Sep 04 2008 23:56:03 GMT-0400 (Eastern Daylight Time),4099137489,VT,89586,o.josephoseph@ju.co,Diners Club United States & Canada,5445xxxxxxxx7027,04/18,female,WVTX,5,$1720.85,10,$6723.230000000001,18,$16089.17
Mr. Alex Kim,male,703-35-1792,Fri Jan 21 2005 23:28:59 GMT-0500 (Eastern Standard Time),9233889761,AR,53027-1361,a.kimim@bevgalo.org,American Express,3423xxxxxxx9220,04/24,male,KNRH,0,$0,3,$1077.9,6,$4719.97
Miss Lola Carlson,female,364-72-0738,18/7/2010,9178435631,MA,43530-8451,l.carlsonarlson@hisif.net,Diners Club United States & Canada,5471xxxxxxxx9554,07/27,female,WTKJ,2,$865.64,7,$4303.1,16,$10175.44
Misses Essie Howell,female,567-19-8070,30/12/2004,(313) 836-5537,MT,68909-2403,e.howellowell@wohtuwul.net,Mastercard,5103xxxxxxxx9110,10/20,female,KMAK,0,$0,3,$1699.66,10,$6320.749999999999
Dr. Lois Stone,female,481-51-7575,3/29/2014,7256615863,W.I.,67526-2305,l.stonetone@vorarwe.gov,American Express,3499xxxxxxx3680,08/24,female,WRYQ,2,$1542.4899999999998,3,$2730.0099999999998,9,$7396.36
Dr. Alfred Wilkins,male,074-36-3037,Sun Jun 19 2011 00:58:38 GMT-0400 (Eastern Daylight Time),5769893965,AZ,85848-6656,a.wilkinsilkins@cuwel.gov,Visa,4454xxxxxxxx2062,01/18,male,KSSC,0,$0,5,$3386.25,8,$7559.399999999999
Madge Greene,female,840-83-3547,Tue Nov 28 2006 15:11:32 GMT-0500 (Eastern Standard Time),(338) 384-4567,North Dakota,58985-9269,m.greenereene@rinkeg.co,Discover Card,6011xxxxxxxx4790,04/20,female,KETL,1,$481.29,5,$2813.55,13,$9230.989999999998
Mrs. Belle Christensen,female,689-87-8218,5/28/2010,3117191951,Utah,01141-5952,b.christensenhristensen@ho.au,Mastercard,5121xxxxxxxx6179,08/17,female,KLZA,1,$28.25,4,$1694.0100000000002,13,$6072.830000000001
Louise Watson,female,570-14-0835,8/8/2010,9063996828,MA,31910-2758,l.Watson@pelik.gov,Mastercard,5104xxxxxxxx6686,06/22,female,WDHI,3,$1217.33,6,$4275.679999999999,7,$8360.539999999999
Jeffrey Simmons,male,950-26-2110,19/12/2013,(639) 894-1404,M.A.,92063,j.Simmons@liz.de,Mastercard,5165xxxxxxxx5074,01/20,male,WOAG,1,$752.59,5,$4242.9,13,$11993.660000000002
Mister Jose Davis,male,926-85-9627,Fri Oct 12 2012 04:01:55 GMT-0400 (Eastern Daylight Time),(229) 432-4484,Michigan,32761,j.davisavis@fef.net,American Express,3465xxxxxxx0063,12/22,male,WSRF,0,$0,4,$2135.72,11,$9182.340000000002
Mr. Hunter Black,male,977-72-6323,Fri Nov 26 2010 06:29:39 GMT-0500 (Eastern Standard Time),(773) 470-5508,Utah,71114,h.blacklack@gekuvki.org,American Express,3456xxxxxxx8248,01/20,male,KPPO,2,$512.9300000000001,6,$2850.41,11,$9017.42
Polly Andrews,female,989-13-9512,Tue Aug 12 2014 20:26:45 GMT-0400 (Eastern Daylight Time),(246) 497-1769,MD,71150,p.andrewsndrews@numbih.net,Visa,4660xxxxxxxx6279,07/24,female,WRYL,3,$1828.04,6,$4386.829999999999,14,$12737.779999999995
Annie Poole,female,702-26-1840,8/27/2017,(422) 532-1289,West Virginia,61099,a.pooleoole@jusmu.edu,American Express,3446xxxxxxx6854,08/27,female,WUUX,1,$834.7,5,$3669.69,8,$7290.04
Cornelia Burns,female,124-66-6592,Thu Feb 19 2015 07:30:55 GMT-0500 (Eastern Standard Time),9244514182,Colorado,45157,c.burnsurns@wohwuseke.com,Visa,4996xxxxxxxx1419,03/18,female,KNJT,2,$1121.37,6,$4946.75,7,$7087.51
Dr. Derrick Martinez,male,420-33-2331,4/1/2016,6007649308,K.S.,51323-3946,d.Martinez@vaw.ca,Discover Card,6011xxxxxxxx9923,01/23,male,KGVL,3,$1092.85,7,$4326.99,9,$8479.479999999998
Marguerite Jennings,female,967-40-7593,Tue Sep 07 2004 02:04:55 GMT-0400 (Eastern Daylight Time),5407113369,CT,07196,m.jenningsennings@egemuwteh.ca,Visa,4873xxxxxxxx1036,10/17,female,WDXT,0,$0,2,$1440.9299999999998,12,$5999.319999999999
Fred Moss,male,355-61-4143,Fri Mar 19 2010 21:35:33 GMT-0400 (Eastern Daylight Time),(766) 524-7246,I.A.,97072,f.mossoss@mo.org,Diners Club United States & Canada,5400xxxxxxxx0477,05/20,male,KQUD,2,$659.99,6,$4176.29,8,$9025.97
Dr. Jason Stokes,male,722-65-0874,11/2/2013,(460) 437-8265,IN,81462,j.stokestokes@kejawfa.com,Visa,4957xxxxxxxx9581,06/19,male,WDGL,1,$100.2,4,$2025.5300000000002,10,$8063.550000000001
Jesse McGee,male,918-62-7195,12/11/2006,3576725569,Utah,75600,j.mcgeecGee@dapupute.gov,American Express,3416xxxxxxx9144,07/18,male,KEDG,1,$62.98,3,$1139.01,4,$4250.799999999999
Arthur May,male,056-34-0284,Sat Mar 26 2011 01:22:04 GMT-0400 (Eastern Daylight Time),4318895589,AK,11722-5118,a.May@ga.com,Discover Card,6011xxxxxxxx9653,08/24,male,KMTK,1,$814.98,6,$5694.89,11,$11298.279999999999
Doctor Edward Cobb,male,048-87-8975,Wed Dec 21 2005 05:07:20 GMT-0500 (Eastern Standard Time),3714456505,C.O.,79558,e.cobbobb@rurewob.info,American Express,3466xxxxxxx0018,05/24,male,KOBZ,4,$1160.9,9,$6280.789999999999,18,$14192.820000000002
Miss Mina Kim,female,310-69-9322,Mon Dec 17 2007 02:53:23 GMT-0500 (Eastern Standard Time),6072038402,Rhode Island,57179-0255,m.kimim@isijokib.info,Discover Card,6011xxxxxxxx0378,08/26,female,WLVF,0,$0,2,$823.82,9,$4053.8099999999995
Hester Matthews,female,722-98-1574,Fri Sep 04 2015 15:04:28 GMT-0400 (Eastern Daylight Time),(500) 481-5277,WY,47486-8543,h.matthewsatthews@kethucuk.info,Visa,4362xxxxxxxx2816,11/23,female,KUZN,0,$0,4,$1471.35,14,$7373.970000000001
Miss Sadie Delgado,female,957-47-4330,9/3/2013,(665) 692-4805,Oklahoma,19282,s.Delgado@tof.co,Diners Club United States & Canada,5476xxxxxxxx3059,10/19,female,KUIV,0,$0,1,$559.92,3,$1800.03
Dr. Jeanette Fisher,female,227-15-6316,12/31/2006,2203735283,Minnesota,90927,j.fisherisher@ko.org,American Express,3424xxxxxxx7103,11/19,female,KGEW,2,$1196.3600000000001,3,$3802.41,6,$7451.1
Doctor Vincent Barker,male,717-41-0644,30/10/2005,6396097787,Wyoming,09761-0172,v.barkerarker@gicmacvu.net,Discover Card,6011xxxxxxxx3013,03/23,male,KHMB,0,$0,4,$799.6800000000001,12,$6646.53
Lottie Paul,female,985-89-7917,10/2/2014,5858677913,Virginia,18322,l.paulaul@wavdeh.info,Diners Club United States & Canada,5424xxxxxxxx3591,10/22,female,WRCQ,5,$1561.22,10,$6773.780000000001,12,$12685.3
Dr. Jack Rhodes,male,703-70-1808,Fri Jul 26 2013 10:39:58 GMT-0400 (Eastern Daylight Time),2714055977,Tennessee,41412-2040,j.Rhodes@metwervu.gov,Discover Card,6011xxxxxxxx5849,04/27,male,WLOR,2,$1177.27,7,$4375.2699999999995,17,$12317.73
Mrs. Ora Woods,female,672-95-7988,Tue Apr 09 2013 15:31:33 GMT-0400 (Eastern Daylight Time),(788) 339-8417,I.N.,41489,o.woodsoods@fouza.edu,Discover Card,6011xxxxxxxx9624,03/21,female,WOMU,4,$1643.6,8,$5703.050000000001,15,$13347.880000000005
Dr. Victor Carpenter,male,931-15-9585,Fri Mar 15 2013 18:21:31 GMT-0400 (Eastern Daylight Time),6472393786,O.H.,27664,v.carpenterarpenter@zakhuv.gov,Visa,4460xxxxxxxx1244,02/21,male,WTIB,4,$1888.6400000000003,9,$5300.93,18,$14387.289999999995
Dr. Bertie Phelps,female,794-82-2246,5/5/2014,(378) 200-4689,Oregon,57300-9226,b.Phelps@mafetce.ca,Mastercard,5108xxxxxxxx1437,07/19,female,KJTO,3,$2123.3900000000003,4,$4101.990000000001,9,$9537.62
Dr. Clayton Francis,male,798-56-7821,Mon May 08 2006 01:54:40 GMT-0400 (Eastern Daylight Time),8885646567,Nevada,16294-8927,c.francisrancis@bugo.co,Discover Card,6011xxxxxxxx6550,07/27,male,KBZV,1,$906.01,2,$2067.95,4,$4564.259999999999
Mr. Jeffery Hogan,male,203-46-4700,8/6/2011,3322167125,MO,04043,j.Hogan@ojisomih.org,Discover Card,6011xxxxxxxx3261,01/22,male,KXEW,0,$0,3,$1868.73,10,$8111.2
Georgie Craig,female,819-82-5283,Thu Jul 17 2014 10:08:11 GMT-0400 (Eastern Daylight Time),(707) 945-9567,I.L.,35462-0187,g.craigraig@foreji.ca,Diners Club United States & Canada,5447xxxxxxxx7391,12/27,female,WZEP,3,$630.64,4,$3508.62,5,$5425.599999999999
Dr. Mike Chandler,male,268-08-5638,Tue Mar 16 2010 07:18:27 GMT-0400 (Eastern Daylight Time),9123191947,Maine,69869-4534,m.chandlerhandler@nidevwew.info,Visa,4571xxxxxxxx4665,02/17,male,WECJ,5,$3055.6800000000003,6,$4175.89,15,$10554.650000000003
Misses Sophia Grant,female,743-53-4466,6/11/2013,(447) 403-7684,Nebraska,66183-4015,s.Grant@budoowo.au,Discover Card,6011xxxxxxxx9816,11/17,female,KXQK,2,$1179.23,4,$2541.2400000000002,13,$10164.64
Dr. Allen Boone,male,281-48-9265,5/5/2007,(827) 409-5972,A.Z.,90354,a.booneoone@merek.nz,Diners Club United States & Canada,5478xxxxxxxx1162,03/17,male,KXSO,1,$911.41,4,$2847.4,5,$5799.91
Ernest Hanson,male,228-74-2990,Thu Sep 16 2010 22:29:07 GMT-0400 (Eastern Daylight Time),(704) 262-3039,I.L.,41390,e.hansonanson@jel.info,American Express,3494xxxxxxx7704,07/18,male,WQZB,3,$1642.09,8,$4803.799999999999,16,$11450.979999999998
Myra Nelson,female,427-60-7925,Tue Aug 15 2017 10:31:02 GMT-0400 (Eastern Daylight Time),6165772966,Nebraska,67857,m.nelsonelson@muubiif.nz,American Express,3427xxxxxxx9133,07/26,female,KQMD,0,$0,5,$2071.4700000000003,6,$5164.849999999999
Misses Belle Ferguson,female,723-80-9174,Fri Sep 21 2012 16:22:18 GMT-0400 (Eastern Daylight Time),(813) 382-4301,IN,93593-7212,b.fergusonerguson@hih.org,American Express,3440xxxxxxx3152,11/25,female,WWAV,3,$1621.45,7,$4648.259999999999,10,$9630.479999999998
Phillip Wagner,male,618-11-3830,Thu Feb 18 2010 06:30:17 GMT-0500 (Eastern Standard Time),(231) 391-4336,UT,80149-4187,p.Wagner@hiluf.org,American Express,3460xxxxxxx5159,08/21,male,KEJY,3,$1737.7999999999997,4,$4141.54,10,$9067.53
Miss Mabel Goodman,female,617-34-4097,31/10/2015,(568) 518-4951,ID,80036-9885,m.goodmanoodman@mudo.nz,Diners Club United States & Canada,5446xxxxxxxx9220,07/26,female,KWZK,5,$3772.43,6,$7375,16,$13791.790000000003
Herman Hughes,male,555-35-2061,11/30/2012,(438) 866-8119,Maryland,74144,h.hughesughes@urebepoc.ca,Visa,4113xxxxxxxx8841,09/19,male,WWGB,4,$2201.7200000000003,9,$6826.759999999999,17,$16991.910000000007
Misses Sophie Stokes,female,167-13-2420,Thu Sep 21 2006 05:27:50 GMT-0400 (Eastern Daylight Time),(486) 452-5398,L.A.,06504,s.Stokes@leneap.edu,Discover Card,6011xxxxxxxx4528,08/25,female,WXQI,0,$0,3,$2452.4,6,$4620.259999999999
Gregory Bradley,male,053-45-4068,29/11/2007,(709) 807-2282,HI,20023,g.bradleyradley@ubi.nz,American Express,3445xxxxxxx8167,01/25,male,KDWK,4,$2006.95,5,$4331.51,8,$9382.82
Dr. Dora Barrett,female,346-31-5536,Mon Nov 15 2010 08:04:02 GMT-0500 (Eastern Standard Time),8255885992,N.Y.,53527,d.barrettarrett@vuktojfu.gov,Diners Club United States & Canada,5405xxxxxxxx6787,11/26,female,WBPS,5,$1556.5300000000002,6,$5095.640000000001,11,$13174.199999999999
Doctor Effie Mann,female,638-57-2471,8/28/2005,4865729297,CO,35071-9232,e.mannann@osbez.gov,Diners Club United States & Canada,5493xxxxxxxx2062,08/21,female,KXHP,3,$1506.95,8,$5922.52,15,$13543.56
Arthur Goodwin,male,662-86-8717,12/17/2004,7607714655,Alabama,20248,a.goodwinoodwin@oteulozuv.ca,Mastercard,5177xxxxxxxx8473,07/19,male,WJRI,1,$134.34,4,$1856.1599999999999,6,$5211.38
Doctor Martin Miller,male,626-37-7599,Mon Aug 26 2013 05:33:22 GMT-0400 (Eastern Daylight Time),(563) 782-7689,New Jersey,66566-7161,m.milleriller@umi.nz,Discover Card,6011xxxxxxxx1765,09/23,male,WSZW,2,$1481.72,3,$2640.82,10,$7647.509999999999
Randy Rogers,male,239-83-7490,Sun Mar 28 2010 19:48:48 GMT-0400 (Eastern Daylight Time),(831) 444-8929,Wyoming,91605-4254,r.rogersogers@pos.org,Mastercard,5117xxxxxxxx5924,03/22,male,KJHX,4,$2468.9,8,$7949.01,10,$11623.719999999998
Mr. Benjamin Wood,male,240-33-3952,Sat Feb 03 2007 10:37:23 GMT-0500 (Eastern Standard Time),(640) 432-5893,Kentucky,94154,b.woodood@wew.com,Diners Club United States & Canada,5412xxxxxxxx0508,09/23,male,WAGB,2,$1132.47,5,$4274.01,9,$10521.090000000002
Doctor Peter Cook,male,658-37-6172,11/8/2014,(420) 551-6228,Georgia,98255,p.Cook@saftub.gov,Mastercard,5120xxxxxxxx6764,04/17,male,WJAP,4,$2771.41,9,$8157.569999999999,18,$18477.05
Dr. Norman Paul,male,323-20-7296,9/19/2009,4508304547,NE,97969-8020,n.paulaul@ik.de,Discover Card,6011xxxxxxxx6404,12/23,male,KRKX,5,$3578.5299999999997,10,$10038.050000000001,19,$19060.010000000006
Brett Harmon,male,148-30-9490,8/13/2012,7552217543,Maryland,47022-2964,b.harmonarmon@alefeowi.de,Mastercard,5160xxxxxxxx0508,11/24,male,WBLY,4,$2955.5,8,$8047.820000000001,17,$17606.14
Doctor John Montgomery,male,715-54-6152,Sat Dec 03 2011 23:05:02 GMT-0500 (Eastern Standard Time),3583284994,N.Y.,25509,j.montgomeryontgomery@hakikuat.net,Diners Club United States & Canada,5434xxxxxxxx7362,01/27,male,WOPV,4,$1765.34,5,$3776.0699999999997,14,$10244.29
Mister Nathan Coleman,male,745-82-0059,Fri Nov 27 2015 10:23:12 GMT-0500 (Eastern Standard Time),(477) 285-1867,T.X.,29453-3420,n.colemanoleman@zogejdi.edu,Mastercard,5191xxxxxxxx6021,02/17,male,KCUX,3,$2130.89,4,$4051.3099999999995,12,$9752.54
Della Perkins,female,820-81-4433,18/8/2011,(763) 563-9068,AL,07057,d.perkinserkins@pof.co,Discover Card,6011xxxxxxxx5737,08/25,female,WXFK,5,$3249.88,8,$6785.54,12,$11458.779999999999
Hulda Harper,female,556-77-6584,Mon Sep 21 2015 10:09:02 GMT-0400 (Eastern Daylight Time),5379958651,South Dakota,90813,h.harperarper@samtupbor.org,Mastercard,5132xxxxxxxx4239,10/18,female,KVZF,5,$2467.9799999999996,7,$5738.29,8,$10729.800000000001
Timothy Austin,male,602-44-2902,28/1/2013,(287) 685-8224,NY,37648,t.austinustin@ragwedju.com,Mastercard,5106xxxxxxxx6358,04/23,male,WFHD,4,$2419.0099999999998,7,$5828.879999999999,13,$13171.64
Curtis Long,male,603-28-8590,22/3/2007,(856) 808-4392,D.C.,31775,c.longong@bi.com,Mastercard,5188xxxxxxxx5252,08/21,male,WZAH,5,$3317.5699999999997,6,$6343.2,15,$14982.399999999998
Mister Francisco Knight,male,282-82-5934,20/10/2013,(461) 291-4560,N.M.,45837,f.Knight@alapiwun.gov,Visa,4396xxxxxxxx2418,12/20,male,KFPY,0,$0,4,$1569.9099999999999,8,$7006.469999999999
Mrs. Lina Young,female,220-33-2693,5/4/2016,3198736827,New Jersey,39480,l.Young@coovca.ca,Mastercard,5151xxxxxxxx0024,05/27,female,WCKW,1,$395.87,5,$3565.2,11,$8562.06
Billy Mullins,male,053-93-0369,22/3/2011,5518794825,South Dakota,50153-4112,b.Mullins@botharkek.gov,Discover Card,6011xxxxxxxx0814,02/22,male,KPHJ,4,$2090.1800000000003,9,$5471.520000000001,16,$16387.14
Bryan Bass,male,884-15-3145,3/10/2013,2809976380,MA,42693,b.bassass@di.org,Discover Card,6011xxxxxxxx9221,06/24,male,WBBP,5,$2490.09,6,$6252.660000000001,7,$7898.300000000001
Virgie Hunter,female,271-74-5877,Tue Mar 22 2011 06:32:24 GMT-0400 (Eastern Daylight Time),9259529620,Montana,67643-8195,v.hunterunter@daka.org,American Express,3436xxxxxxx2674,07/23,female,KXNY,2,$1216.54,5,$3712.1799999999994,15,$10700.339999999998
Melvin Russell,male,926-29-8875,12/18/2009,(229) 529-7714,Michigan,43940,m.russellussell@po.net,Discover Card,6011xxxxxxxx3725,08/22,male,WQNL,1,$145.72,2,$972.6700000000001,8,$5347.88
Dr. Garrett Peters,male,532-57-1955,Wed Jul 19 2006 15:54:50 GMT-0400 (Eastern Daylight Time),(931) 778-8710,M.I.,03078-1015,g.peterseters@talfumec.info,Visa,4319xxxxxxxx2375,10/27,male,WCJL,0,$0,3,$2382.4900000000002,13,$9008.33
Travis Ross,male,304-19-1214,Tue Sep 04 2012 17:10:03 GMT-0400 (Eastern Daylight Time),(700) 684-8676,N.V.,32309,t.rossoss@cot.de,Mastercard,5197xxxxxxxx8695,06/17,male,KSKY,0,$0,1,$236,5,$3326.5599999999995
Louisa Mendoza,female,962-88-2520,Sun Mar 24 2013 14:59:51 GMT-0400 (Eastern Daylight Time),5062147520,MT,39551-5392,l.mendozaendoza@ohcartu.gov,Discover Card,6011xxxxxxxx9406,07/23,female,KACK,2,$1016.62,7,$5908.2,8,$10605.91
Miss Louisa Rowe,female,154-13-2543,4/12/2016,9083465310,D.E.,62946,l.roweowe@dahaspup.edu,Diners Club United States & Canada,5463xxxxxxxx2489,10/23,female,WLHN,2,$1019.74,3,$2941.3899999999994,7,$6980.579999999999
Theodore Nelson,male,496-86-5347,9/10/2014,8072214693,Missouri,51730,t.nelsonelson@uwiod.de,Discover Card,6011xxxxxxxx9044,10/24,male,KUHV,1,$755.62,2,$1467.1599999999999,6,$6577.389999999999
Mrs. Daisy Hunt,female,854-06-2675,Fri Jun 26 2015 09:13:09 GMT-0400 (Eastern Daylight Time),(777) 238-1394,New Jersey,31492-6475,d.Hunt@de.com,Diners Club United States & Canada,5447xxxxxxxx0982,05/27,female,WVMP,3,$1892.93,4,$4716.349999999999,9,$8430.470000000001
Vera McKinney,female,334-70-8870,Thu Oct 08 2009 22:36:45 GMT-0400 (Eastern Daylight Time),(761) 603-9221,Mississippi,02800-4484,v.McKinney@pel.org,American Express,3489xxxxxxx3932,12/22,female,WIND,2,$779.49,5,$3009.6,14,$9590.89
